eha_ptid,fcdocket,hilarriid,nididfull,nidid,dam_name,longitude,latitude,state,huc,Pt_Own,OwType,Type,CH_MW,status,HILARRI_2021,EHA_FY2021,EHA_Annual_Capacity,EHA_Annual_CapacityFactor,EHA_Annual_Gross_Generation,ORNL_Retired_FY2020_revised,ORNL_US_Hydropower_DevelopmentPipeline_Data_FY2021,ORNL_CostofMitigatingEnvironmentalImpacts_FY2021,ORNL_Mitigation_Database,EHA_Annual_Net_Generation,hydrosource_id,uri,huc12_uri,comid,comid_uri
hc0001_p01,NA,1738,WY01290,WY01290,ALCOVA,-106.727083,42.543117,WY,1.02E+11,Reclamation Great Plains Region (GP),Reclamation,HY,41.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,1,https://geoconnex.us/ornl/hydrosource/dams1,https://geoconnex.us/nhdplusv2/huc12/1.02E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0002_p01,NA,2371,ID00279,ID00279,ANDERSON RANCH,-115.4491,43.3588,ID,1.71E+11,Reclamation Pacific Northwest Region (PN),Reclamation,HY,40,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,2,https://geoconnex.us/ornl/hydrosource/dams2,https://geoconnex.us/nhdplusv2/huc12/1.71E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0003_p01,NA,2117,ID00282,ID00282,BLACK CANYON DIVERSION,-116.4367,43.9303,ID,1.71E+11,Reclamation Pacific Northwest Region (PN),Reclamation,HY,10.2,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,3,https://geoconnex.us/ornl/hydrosource/dams3,https://geoconnex.us/nhdplusv2/huc12/1.71E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0004_p01,NA,1839,CO01675,CO01675,BLUE MESA,-107.3342,38.4533,CO,1.40E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,86.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,4,https://geoconnex.us/ornl/hydrosource/dams4,https://geoconnex.us/nhdplusv2/huc12/1.40E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0005_p01,NA,2094,ID00281,ID00281,BOISE RIVER DIVERSION,-116.0935,43.5377,ID,1.71E+11,Reclamation Pacific Northwest Region (PN),Reclamation,HY,3.3,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,5,https://geoconnex.us/ornl/hydrosource/dams5,https://geoconnex.us/nhdplusv2/huc12/1.71E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0006_p01,NA,1654,WY01299,WY01299,BOYSEN,-108.177221,43.414157,WY,1.01E+11,Reclamation Great Plains Region (GP),Reclamation,HY,15,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,6,https://geoconnex.us/ornl/hydrosource/dams6,https://geoconnex.us/nhdplusv2/huc12/1.01E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0007_p01,NA,1652,WY01300,WY01300,BUFFALO BILL,-109.1831,44.50145,WY,1.01E+11,Reclamation Great Plains Region (GP),Reclamation,HY,18,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,7,https://geoconnex.us/ornl/hydrosource/dams7,https://geoconnex.us/nhdplusv2/huc12/1.01E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0007_p02,NA,1650,WY01300,WY01300,BUFFALO BILL,-109.1831,44.50145,WY,1.01E+11,Reclamation Great Plains Region (GP),Reclamation,HY,3,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,8,https://geoconnex.us/ornl/hydrosource/dams8,https://geoconnex.us/nhdplusv2/huc12/1.01E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0007_p03,NA,1651,WY01300,WY01300,BUFFALO BILL,-109.1831,44.50145,WY,1.01E+11,Reclamation Great Plains Region (GP),Reclamation,HY,5,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,9,https://geoconnex.us/ornl/hydrosource/dams9,https://geoconnex.us/nhdplusv2/huc12/1.01E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0007_p04,NA,1653,WY01300,WY01300,BUFFALO BILL,-109.1831,44.50145,WY,1.01E+11,Reclamation Great Plains Region (GP),Reclamation,HY,4.5,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,10,https://geoconnex.us/ornl/hydrosource/dams10,https://geoconnex.us/nhdplusv2/huc12/1.01E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
