uri,hydrosource_id,eha_ptid,fcdocket,hilarriid,nididfull,nidid,dam_name,longitude,latitude,state,state_uri,huc,huc_uri,Pt_Own,OwType,Type,CH_MW,status,HILARRI_2021,EHA_FY2021,EHA_Annual_Capacity,EHA_Annual_CapacityFactor,EHA_Annual_Gross_Generation,ORNL_Retired_FY2020_revised,ORNL_US_Hydropower_DevelopmentPipeline_Data_FY2021,ORNL_CostofMitigatingEnvironmentalImpacts_FY2021,ORNL_Mitigation_Database,EHA_Annual_Net_Generation
https://geoconnex.us/ornl/hydrosource/dams/1,1,hc0001_p01,,1738,WY01290,WY01290,ALCOVA,-106.727083,42.543117,WY,https://geoconnex.us/ref/states/56,1.02E+11,https://geoconnex.us/nhdplusv2/huc12/102000000000,Reclamation Great Plains Region (GP),Reclamation,HY,41.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,,,,,,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019
https://geoconnex.us/ornl/hydrosource/dams/2,2,hc0002_p01,,2371,ID00279,ID00279,ANDERSON RANCH,-115.4491,43.3588,ID,https://geoconnex.us/ref/states/16,1.71E+11,https://geoconnex.us/nhdplusv2/huc12/171000000000,Reclamation Pacific Northwest Region (PN),Reclamation,HY,40,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,,,,,,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019
https://geoconnex.us/ornl/hydrosource/dams/3,3,hc0003_p01,,2117,ID00282,ID00282,BLACK CANYON DIVERSION,-116.4367,43.9303,ID,https://geoconnex.us/ref/states/16,1.71E+11,https://geoconnex.us/nhdplusv2/huc12/171000000000,Reclamation Pacific Northwest Region (PN),Reclamation,HY,10.2,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,,,,,,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019
https://geoconnex.us/ornl/hydrosource/dams/4,4,hc0004_p01,,1839,CO01675,CO01675,BLUE MESA,-107.3342,38.4533,CO,https://geoconnex.us/ref/states/8,1.40E+11,https://geoconnex.us/nhdplusv2/huc12/140000000000,Reclamation Upper Colorado Region (UC),Reclamation,HY,86.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,,,,,,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019
https://geoconnex.us/ornl/hydrosource/dams/5,5,hc0005_p01,,2094,ID00281,ID00281,BOISE RIVER DIVERSION,-116.0935,43.5377,ID,https://geoconnex.us/ref/states/16,1.71E+11,https://geoconnex.us/nhdplusv2/huc12/171000000000,Reclamation Pacific Northwest Region (PN),Reclamation,HY,3.3,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,,,,,,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019
https://geoconnex.us/ornl/hydrosource/dams/6,6,hc0006_p01,,1654,WY01299,WY01299,BOYSEN,-108.177221,43.414157,WY,https://geoconnex.us/ref/states/56,1.01E+11,https://geoconnex.us/nhdplusv2/huc12/101000000000,Reclamation Great Plains Region (GP),Reclamation,HY,15,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,,,,,,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019
https://geoconnex.us/ornl/hydrosource/dams/7,7,hc0007_p01,,1652,WY01300,WY01300,BUFFALO BILL,-109.1831,44.50145,WY,https://geoconnex.us/ref/states/56,1.01E+11,https://geoconnex.us/nhdplusv2/huc12/101000000000,Reclamation Great Plains Region (GP),Reclamation,HY,18,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,,,,,,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019
https://geoconnex.us/ornl/hydrosource/dams/8,8,hc0007_p02,,1650,WY01300,WY01300,BUFFALO BILL,-109.1831,44.50145,WY,https://geoconnex.us/ref/states/56,1.01E+11,https://geoconnex.us/nhdplusv2/huc12/101000000000,Reclamation Great Plains Region (GP),Reclamation,HY,3,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,,,,,,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019
https://geoconnex.us/ornl/hydrosource/dams/9,9,hc0007_p03,,1651,WY01300,WY01300,BUFFALO BILL,-109.1831,44.50145,WY,https://geoconnex.us/ref/states/56,1.01E+11,https://geoconnex.us/nhdplusv2/huc12/101000000000,Reclamation Great Plains Region (GP),Reclamation,HY,5,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,,,,,,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019
https://geoconnex.us/ornl/hydrosource/dams/10,10,hc0007_p04,,1653,WY01300,WY01300,BUFFALO BILL,-109.1831,44.50145,WY,https://geoconnex.us/ref/states/56,1.01E+11,https://geoconnex.us/nhdplusv2/huc12/101000000000,Reclamation Great Plains Region (GP),Reclamation,HY,4.5,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,,,,,,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019
